id,spawn time,group,engage delay,CD,name,image name,move type,hp,atk,spd,def,res,weapon,Modifier,Color,assist,special,passives,,,
5,1,,1,0,Bramimond,,INFANTRY,79,69,36,29,46,Void Tome,,,,Luna,Atk/Def Push 4,Lull Atk/Res 3,Impenetrable Dark,Close Def 3
6,1,,,2,Green Manakete,Manakete - Green,INFANTRY,88,60,42,40,39,Dark Breath+,Atk,G,,Sacred Cowl,Fury 3,Guard 3,Spur Def/Res 2,Distant Def 3
7,1,,,3,Lance Knight,Armor - Lance,ARMORED,99,62,19,51,27,Barrier Lance+,Res,,,Vengeance,Water Boost 3,Wary Fighter 3,Panic Ploy 3,Brazen Atk/Def 3
8,1,,,1,Sword Fighter,Fighter - Sword,INFANTRY,89,56,41,39,27,Slaying Edge+,Atk,,,Moonbow,Atk/Spd Form 3,Wrath 3,Threat. Atk/Def 2,
9,1,,,3,Axe Knight,Armor - Axe,ARMORED,99,62,19,51,27,Rearguard+,Res,,,Aegis,Distant Def 3,Guard 3,Def Smoke 3,Atk Smoke 3
10,1,,,1,Cleric,Sister - Rod,INFANTRY,74,49,37,28,46,Panic+,Dazzling,,Restore+,Fireflood Balm+,HP/Atk 2,Even Pulse Tie 3,Res Ploy 3,
11,2,,,2,Blue Thief,Thief - Blue Dagger,INFANTRY,77,50,49,20,41,The Cleaner+,Atk,B,,Reprisal,Death Blow 3,Vantage 3,Res Ploy 3,
12,2,,,3,Thief,Thief - Dagger,INFANTRY,77,50,49,20,41,Dragonslasher+,Atk,,Pivot,Draconic Aura,Atk/Def Solo 3,Wings of Mercy 3,Panic Smoke 3,Sturdy Blow 2
13,2,,,4,Bow Cavalier,Knight - Bow,CAVALRY,78,57,30,32,28,Guard Bow+,Def,,,Blazing Thunder,Close Def 3,Dull Ranged 3,Def Smoke 3,Quick Riposte 3
14,3,,,2,Axe Fighter,Fighter - Axe,INFANTRY,89,57,47,42,30,Slaying Axe+,Spd,,,Bonfire,Fury 3,Repel 3,Panic Ploy 3,Wind Boost 3
15,3,,,3,Red Mage,Mage - Red Tome,INFANTRY,75,53,44,24,36,Raudrserpent+,Spd,,,Iceberg,Atk/Spd Solo 3,Quick Riposte 3,Atk/Res Gap 3,
16,3,,,2,Lance Flier,Pegasus Knight - Lance,INFANTRY,73,51,42,28,43,Firesweep L+,,,,Moonbow,Death Blow 3,Lunge,Res Smoke 3,Iote's Shield
17,4,,,5,Blue Fafnir,Manakete Winged - Blue,FLYING,83,51,44,25,39,Dark Breath+,Atk,B,,Miracle,Fort. Def/Res 2,Guard 3,Threat. Atk/Spd 2,Threaten Res 3
18,4,,,3,Sword Dragon,Wyvern Knight - Sword,FLYING,77,53,27,43,26,Brave Sword+,,,,Luna,Iote's Shield,Flier Formation 3,Guidance 3,
